Mass-to-charge,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
701.8779,1226,460,255,1227,613,51
701.9039,1277,307,459,1124,766,51
701.93,613,51,255,459,715,0
701.956,562,204,102,306,613,0
701.9821,714,255,204,306,255,0
702.0081,868,408,409,665,153,0
702.0342,715,510,562,664,307,102
702.0603,1124,511,613,613,870,408
702.0863,2096,563,510,817,1177,664
702.1124,3272,665,510,868,1330,408
702.1384,3579,460,510,255,818,204
702.1645,3990,256,766,306,460,204
702.1905,4037,102,665,511,153,102
702.2166,3677,306,613,767,255,0
702.2427,3628,357,511,562,562,0
702.2687,4806,51,663,153,665,0
702.2948,4704,0,665,663,614,0
702.3208,3781,0,716,1175,460,51
702.3469,2044,204,409,971,255,102
702.373,1533,358,562,817,612,153
702.399,1686,256,204,613,1379,0
702.4251,2096,51,408,1175,2454,0
702.4512,2456,51,612,1277,3118,0
702.4772,3324,204,408,1329,3528,0
702.5033,2710,204,204,1533,3528,0
702.5293,1992,51,153,1534,3273,0
702.5554,1021,0,51,1175,2044,51
702.5815,664,0,306,1277,1635,102
702.6075,664,0,459,2147,1379,51
702.6336,971,102,357,4704,1686,0
702.6597,1125,460,204,7314,1175,0
702.6857,1176,971,511,8084,1227,0
702.7118,971,1124,409,6701,1278,0
702.7379,766,1074,153,6395,1023,0
702.7639,408,1022,459,5061,511,102
702.79,562,1072,921,3731,357,306
702.8161,1021,1021,867,2299,920,817
702.8422,1176,868,561,1890,1534,1176
702.8682,716,920,306,1635,1330,1226
702.8943,306,1074,204,1685,665,1584
702.9204,306,869,204,1581,51,1482
702.9464,408,868,561,1482,102,868
702.9725,510,766,1789,1379,255,408
702.9986,510,1022,4243,1431,409,204
703.0247,306,971,6190,1277,613,102
703.0507,765,1023,7263,1534,817,153
703.0768,1022,921,6497,1636,766,102
703.1029,1022,1072,5321,1125,766,51
703.129,1633,715,2607,409,613,0
703.155,2710,511,1380,511,459,0
703.1811,2556,153,919,562,153,0
703.2072,2248,51,1277,511,204,0
703.2333,2299,204,971,562,204,0
703.2593,3270,255,459,869,306,0
703.2854,3524,204,306,869,306,0
703.3115,3731,102,460,766,306,0
703.3376,2964,0,357,664,511,0
703.3637,2555,153,510,1124,664,153
703.3897,1891,102,460,1123,868,307
703.4158,1431,102,357,1124,1329,409
703.4419,1175,102,51,663,1891,255
703.468,921,204,306,715,2453,102
703.4941,766,204,357,869,1892,0
703.5201,1430,307,561,1022,1278,0
703.5462,1891,153,510,1073,715,0
703.5723,1788,204,663,1278,868,0
703.5984,1074,408,459,1379,1125,153
703.6245,715,459,153,2198,1584,358
703.6506,766,306,102,2862,1226,460
703.6767,1075,510,460,3730,766,613
703.7027,869,459,358,4347,408,357
703.7288,357,765,153,3938,562,102
703.7549,510,816,153,2349,970,255
703.781,1072,613,306,1684,1688,614
703.8071,919,459,102,1737,2097,870
703.8332,765,357,511,1635,2507,1022
703.8593,919,306,715,1329,2098,867
703.8854,1584,204,868,1432,1125,612
703.9114,1687,256,510,1379,358,357
703.9375,1533,409,510,1175,102,255
703.9636,817,256,918,971,255,153
703.9897,510,153,1890,562,613,102
704.0158,510,102,3068,408,511,510
704.0419,817,0,4195,255,255,818
704.068,919,102,3579,153,0,511
704.0941,1430,409,1787,510,153,51
704.1202,1890,614,817,766,306,0
704.1463,2248,512,765,459,306,0
704.1724,2146,153,766,255,153,0
704.1985,2093,0,715,561,511,0
704.2246,1378,51,204,459,511,0
704.2507,1175,153,357,510,767,0
704.2768,1224,204,511,306,818,51
704.3029,1377,153,715,460,766,0
704.329,867,153,664,511,867,0
704.3551,919,0,715,511,1125,0
704.3812,868,0,204,562,972,102
704.4073,714,0,102,612,818,307
704.4333,511,0,0,1073,664,307
704.4595,561,0,102,1379,972,153
704.4856,613,0,153,1175,1073,0
704.5117,920,51,204,1277,715,0
704.5378,919,0,357,1175,255,0
704.5639,918,0,613,1381,613,0
704.59,867,204,255,1277,1227,0
704.6161,1277,460,102,1891,1329,0
704.6422,1022,307,153,1686,715,0
704.6683,408,51,357,1942,307,204
704.6944,51,51,306,2350,102,357
704.7205,153,102,255,3221,0,357
704.7466,409,0,255,2401,153,102
704.7727,562,204,562,1790,766,102
704.7988,561,409,664,1532,1329,102
704.8249,663,613,663,1277,1535,51
704.851,664,306,1124,1122,920,204
704.8771,460,204,1636,1432,408,306
704.9032,255,153,1226,1379,204,204
704.9293,255,153,919,868,153,204
704.9554,306,204,714,511,204,409
704.9816,510,255,663,255,306,460
705.0077,869,306,714,0,511,307
705.0338,1227,460,868,51,409,153
705.0599,971,409,919,51,408,0
705.086,816,358,1175,51,459,0
705.1121,714,307,1889,306,204,0
705.1382,1277,256,2147,818,204,0
705.1643,1431,153,1583,818,460,0
705.1905,1635,51,561,818,460,51
705.2166,1531,51,153,563,153,102
705.2427,1634,0,204,409,153,307
705.2688,1480,51,102,306,204,256
705.2949,1432,51,153,562,256,51
705.321,1176,0,102,562,204,0
705.3471,1072,0,0,357,306,0
705.3733,613,51,102,306,357,0
705.3994,510,307,307,408,510,0
705.4255,612,563,409,306,714,0
705.4516,1278,766,612,306,1021,0
705.4777,1226,357,460,306,714,51
705.5039,1074,102,153,1023,971,0
705.53,715,102,0,1942,1227,0
705.5561,562,153,102,2709,1124,51
705.5822,715,204,204,2911,1327,0
705.6083,1022,358,766,3375,1277,0
705.6345,1176,307,869,3219,869,0
705.6606,1585,204,766,3579,664,102
705.6867,1584,204,306,3526,767,204
705.7128,1227,306,204,3935,664,153
705.739,817,357,408,2555,306,102
705.7651,664,715,561,1686,153,0
705.7912,561,920,511,1277,562,204
705.8173,817,459,715,1021,664,561
705.8435,766,204,766,561,459,1175
705.8696,665,459,1125,612,255,1483
705.8957,409,460,1687,1022,255,1125
705.9218,510,511,1994,1277,306,715
705.948,970,511,1993,1278,306,51
705.9741,1481,511,2402,1277,613,0
706.0002,1175,409,2352,663,715,0
706.0263,459,357,2300,510,766,51
706.0525,357,562,1635,306,869,153
706.0786,510,920,1431,306,1433,256
706.1047,664,767,1686,204,1841,102
706.1309,511,511,1533,459,1534,0
706.157,510,51,1278,460,867,0
706.1831,767,51,459,460,868,0
706.2093,1073,0,153,204,767,0
706.2354,1174,204,51,459,613,0
706.2615,970,307,357,767,408,0
706.2877,970,460,563,716,409,0
706.3138,766,358,358,409,153,0
706.3399,817,358,357,306,255,0
706.3661,510,204,255,204,716,51
706.3922,511,0,255,306,1124,102
706.4183,307,0,256,510,1226,0
706.4445,153,0,256,613,1123,0
706.4706,153,0,102,409,663,0
706.4968,459,51,0,408,818,0
706.5229,357,0,102,612,817,0
706.549,765,153,204,1841,613,0
706.5752,1021,204,51,2914,612,0
706.6013,971,255,51,3066,613,102
706.6275,510,204,153,1993,613,307
706.6536,460,204,306,1993,562,409
706.6797,459,153,204,1941,408,256
706.7059,765,0,153,1687,460,102
706.732,869,51,306,1277,460,357
706.7582,1022,153,409,868,357,306
706.7843,919,204,459,510,307,306
706.8104,970,307,663,357,409,408
706.8366,971,357,408,612,409,306
706.8627,1329,409,357,1380,153,51
706.8889,1073,358,306,1380,102,102
706.915,562,306,511,1072,153,204
706.9412,357,102,562,766,102,306
706.9673,511,0,612,613,102,204
706.9935,306,102,357,358,306,153
707.0196,51,153,867,306,459,102
707.0458,306,408,1123,357,408,0
707.0719,919,562,1482,153,357,0
707.0981,1175,460,1380,204,459,0
707.1242,1789,153,1584,511,664,0
707.1504,1942,0,1022,613,408,0
707.1765,2148,0,460,613,102,0
707.2027,1227,0,255,459,153,0
707.2288,306,0,255,153,409,0
707.255,153,0,204,51,562,0
707.2811,153,102,306,0,511,0
707.3073,511,255,460,51,306,0
707.3334,972,664,357,867,255,0
707.3596,1380,563,204,1328,204,0
707.3857,1483,460,204,1328,715,0
707.4119,1277,255,408,613,1174,0
707.438,1175,307,255,204,1688,0
707.4642,1278,153,51,357,1790,0
707.4904,1432,0,153,715,1636,0
707.5165,818,51,255,817,1227,0
